X: (),Y: (Hits)
3.40642e-05,0
4.03637e-05,0
4.66632e-05,0
5.29627e-05,0
5.92622e-05,0
6.55617e-05,1
7.18612e-05,1
7.81607e-05,9
8.44602e-05,39
9.07597e-05,83
9.70592e-05,104
0.000103359,118
0.000109658,155
0.000115958,130
0.000122257,132
0.000128557,99
0.000134856,73
0.000141156,72
0.000147455,26
0.000153755,12
0.000160054,12
0.000166354,5
0.000172653,6
0.000178953,4
0.000185252,2
0.000191552,1
0.000197851,0
0.000204151,0
0.00021045,1
0.00021675,0
0.000223049,0
0.000229349,0
0.000235648,0
0.000241948,0
0.000248247,0
0.000254547,0
0.000260846,0
0.000267146,0
0.000273445,0
0.000279745,0
0.000286044,0
0.000292344,0
0.000298643,0
0.000304943,0
0.000311242,0
0.000317542,0
0.000323841,0
0.000330141,0
0.00033644,0
0.00034274,1
0.000349039,0
0.000355339,0
0.000361638,0
0.000367938,0
0.000374237,0
0.000380537,0
0.000386836,0
0.000393136,0
0.000399435,0
0.000405735,0
0.000412034,0
0.000418334,0
0.000424633,0
0.000430933,0
0.000437232,0
0.000443532,0
0.000449831,0
0.000456131,0
0.00046243,0
0.00046873,1
0.000475029,0
0.000481329,0
0.000487628,0
0.000493928,0
0.000500227,0
0.000506527,0
0.000512826,0
0.000519126,0
0.000525425,0
0.000531725,1
0.000538024,0
0.000544324,0
0.000550623,0
0.000556923,0
0.000563222,0
0.000569522,0
0.000575821,0
0.000582121,0
0.00058842,0
0.00059472,0
0.000601019,0
0.000607319,0
0.000613618,0
0.000619918,1
0.000626217,0
0.000632517,0
0.000638816,0
0.000645116,0
0.000651415,0
0.000657715,0
0.000664014,0
0.000670314,0
0.000676613,0
0.000682913,0
0.000689212,0
0.000695512,0
0.000701811,0
0.000708111,0
0.00071441,0
0.00072071,0
0.000727009,0
0.000733309,0
0.000739608,0
0.000745908,0
0.000752207,0
0.000758507,0
0.000764806,0
0.000771106,0
0.000777405,0
0.000783705,0
0.000790004,0
0.000796304,0
0.000802603,0
0.000808903,0
0.000815202,0
0.000821502,0
0.000827801,0
0.000834101,0
0.0008404,0
0.0008467,0
0.000852999,0
0.000859299,0
0.000865598,0
0.000871898,0
0.000878197,0
0.000884497,0
0.000890796,0
0.000897096,0
0.000903395,0
0.000909695,0
0.000915994,0
0.000922294,0
0.000928593,0
0.000934893,0
0.000941192,0
0.000947492,0
0.000953791,0
0.000960091,0
0.00096639,0
0.00097269,0
0.000978989,0
0.000985289,0
0.000991588,0
0.000997888,0
0.00100419,0
0.00101049,0
0.00101679,0
0.00102309,0
0.00102939,0
0.00103568,0
0.00104198,0
0.00104828,0
0.00105458,0
0.00106088,0
0.00106718,0
0.00107348,0
0.00107978,0
0.00108608,0
0.00109238,0
0.00109868,0
0.00110498,0
0.00111128,0
0.00111758,0
0.00112388,0
0.00113018,0
0.00113648,0
0.00114278,0
0.00114908,0
0.00115538,0
0.00116167,0
0.00116797,0
0.00117427,0
0.00118057,0
0.00118687,0
0.00119317,0
0.00119947,1
0.00120577,0
0.00121207,0
0.00121837,0
0.00122467,0
0.00123097,0
0.00123727,0
0.00124357,0
0.00124987,0
0.00125617,0
0.00126247,0
0.00126877,0
0.00127507,0
0.00128137,0
0.00128766,0
0.00129396,0
0.00130026,0
0.00130656,0
0.00131286,0
0.00131916,0
0.00132546,0
0.00133176,0
0.00133806,0
0.00134436,0
0.00135066,0
0.00135696,0
0.00136326,0
0.00136956,0
0.00137586,0
0.00138216,0
0.00138846,0
0.00139476,0
0.00140106,0
0.00140736,0
0.00141365,0
0.00141995,0
0.00142625,0
0.00143255,0
0.00143885,0
0.00144515,0
0.00145145,0
0.00145775,0
0.00146405,0
0.00147035,0
0.00147665,0
0.00148295,0
0.00148925,0
0.00149555,0
0.00150185,0
0.00150815,0
0.00151445,0
0.00152075,0
0.00152705,0
0.00153335,1
0.00153964,0
0.00154594,0
0.00155224,0
0.00155854,0
0.00156484,1
0.00157114,0
0.00157744,0
0.00158374,0
0.00159004,0
0.00159634,0
0.00160264,0
